humanSusceptibleNumber,humanExposureNumber,humanAsymptomaticNumber,humanInfectNumber,humanRecoverNumber
254.4035489,371.769625,98.41007768,196.8201554,68.87416728
254.4035489,371.769625,98.41007768,196.8201554,68.87416728
249.8505402,369.2239905,99.84895055,199.6979011,71.51372396
249.8505402,369.2239905,99.84895055,199.6979011,71.51372396
249.8505402,369.2239905,99.84895055,199.6979011,71.51372396
249.8505402,369.2239905,99.84895055,199.6979011,71.51372396
249.8505402,369.2239905,99.84895055,199.6979011,71.51372396
245.5810181,366.5523638,101.2320032,202.4640063,74.17298682
245.5810181,366.5523638,101.2320032,202.4640063,74.17298682
245.5810181,366.5523638,101.2320032,202.4640063,74.17298682
245.5810181,366.5523638,101.2320032,202.4640063,74.17298682
245.5810181,366.5523638,101.2320032,202.4640063,74.17298682
241.5812918,363.7698182,102.5593575,205.1187151,76.8499022
241.5812918,363.7698182,102.5593575,205.1187151,76.8499022
241.5812918,363.7698182,102.5593575,205.1187151,76.8499022
241.5812918,363.7698182,102.5593575,205.1187151,76.8499022
241.5812918,363.7698182,102.5593575,205.1187151,76.8499022
237.8223252,360.9053526,103.8314094,207.6628188,79.54245016
237.8223252,360.9053526,103.8314094,207.6628188,79.54245016
237.8223252,360.9053526,103.8314094,207.6628188,79.54245016
237.8223252,360.9053526,103.8314094,207.6628188,79.54245016
234.2798304,357.9826912,105.0487719,210.0975439,82.24865139
234.2798304,357.9826912,105.0487719,210.0975439,82.24865139
234.2798304,357.9826912,105.0487719,210.0975439,82.24865139
234.2798304,357.9826912,105.0487719,210.0975439,82.24865139
234.2798304,357.9826912,105.0487719,210.0975439,82.24865139
230.9537418,355.0021471,106.2120485,212.4240969,84.96656649
230.9537418,355.0021471,106.2120485,212.4240969,84.96656649
230.9537418,355.0021471,106.2120485,212.4240969,84.96656649
230.9537418,355.0021471,106.2120485,212.4240969,84.96656649
230.9537418,355.0021471,106.2120485,212.4240969,84.96656649
227.8317717,351.9754802,107.3219415,214.6438831,87.69429888
227.8317717,351.9754802,107.3219415,214.6438831,87.69429888
227.8317717,351.9754802,107.3219415,214.6438831,87.69429888
227.8317717,351.9754802,107.3219415,214.6438831,87.69429888
227.8317717,351.9754802,107.3219415,214.6438831,87.69429888
224.9029896,348.9128356,108.3792355,216.758471,90.42999707
224.9029896,348.9128356,108.3792355,216.758471,90.42999707
224.9029896,348.9128356,108.3792355,216.758471,90.42999707
224.9029896,348.9128356,108.3792355,216.758471,90.42999707
224.9029896,348.9128356,108.3792355,216.758471,90.42999707
222.1529283,345.8273964,109.3848237,218.7696473,93.17185789
222.1529283,345.8273964,109.3848237,218.7696473,93.17185789
222.1529283,345.8273964,109.3848237,218.7696473,93.17185789
